district,block,cluster,udise,school,month,reportingDate,timestamp,ifaGiven,reasonNo,noOfWeeks,totalGirls,totalBoys,consuming4IfaGirls,consuming4IfaBoys,ifaSideEffectGirls,ifaSideEffectBoys,referredHealthFacilityGirls,referredHealthFacilityBoys
WEST JAINTIA HILLS,LASKEIN,THADBAMON CRC,17070211501,THADBAMON GOVT LPS,12,2025-12-02,10:41:30,Yes,-,-,00,00,00,00,00,00,00,00
EAST KHASI HILLS,MYLLIEM,MADAN IING SYIEM CRC,17060203701,POMKANIEW GOVT. LP SCHOOL,12,2025-12-02,10:47:26,Yes,-,-,0,0,0,0,0,0,0,0
WEST JAINTIA HILLS,THADLASKEIN,PYNTHOR LANGTEIN CRC,17070100102,SOHMYNTING GOVT LPS,12,2025-12-02,11:48:53,Yes,-,-,62,67,0,0,0,0,0,0
SOUTH WEST GARO HILLS,ZIKZAK,ZIKZAK CRC,17110213901,BHAIRAKUPI LPS,12,2025-12-02,11:59:19,Yes,-,-,20,8,20,8,20,8,00,00
WEST KHASI HILLS,MAWSHYNRUT,RIANGDO CRC,17040128101,MADANJAIAW LPS,12,2025-12-02,12:38:17,Yes,-,-,00,00,00,00,54,49,00,00
SOUTH WEST KHASI HILLS,MAWKYRWAT,PYNDENSAKWANG CRC,17100100302,SAKWANG PRES LPS,12,2025-12-02,14:15:57,Yes,-,-,21,8,21,8,0,0,0,0
WEST JAINTIA HILLS,THADLASKEIN,PYNTHOR LANGTEIN CRC,17070108901,KHANDULI UPS,12,2025-12-02,14:51:17,Yes,-,-,0,0,0,0,0,0,0,0
EAST KHASI HILLS,SHILLONG MUNICIPAL AND CANTT.,JAIAW CRC,17060901501,GOVT. BOYS HIGHER SECONDARY,12,2025-12-02,15:18:27,Yes,-,-,0,0,0,0,0,550,0,0
WEST GARO HILLS,GAMBEGRE,DALUAGRE CRC,17010616901,DARAK AKONGGRE SSA/ LPS,12,2025-12-02,15:18:45,Yes,-,-,0,0,0,0,0,0,0,0
SOUTH WEST GARO HILLS,ZIKZAK,KATULI BAZAR CRC,17110222201,DANGSAPARA LPS,12,2025-12-02,15:53:01,Yes,-,-,1,7,0,0,1,7,0,0
NORTH GARO HILLS,BAJENGDOBA,GABIL CRC,17080146701,GABIL GOVT. L.P.SCHOOL,12,2025-12-03,09:47:22,Yes,-,-,35,33,140,132,140,132,0,0
WEST GARO HILLS,DADENGGRE,SAKA BOLDAKGRE CRC,17010207002,DUGALGRE LPS,12,2025-12-03,12:14:22,Yes,-,-,0,0,0,0,0,0,0,0
RI BHOI,BHOIRYMBONG,LIARBANG CRC,17050208803,MODERN UMKTIEH PRES L.P SCHOOL,12,2025-12-03,12:29:00,Yes,-,-,0,0,0,0,0,0,0,0
EAST GARO HILLS,SONGSAK,NAPAK CRC,17020218601,NAPAK TANGKAMA L.P.SCHOOL,12,2025-12-03,13:19:41,Yes,-,-,31,37,24,30,24,30,0,0
WEST GARO HILLS,SELSELLA,RAMJONGGRE CRC,17010134303,ABIMA GOVT. L.P.S.,12,2025-12-04,09:24:17,Yes,-,-,0,0,0,0,0,0,0,0
EAST KHASI HILLS,SOHIONG,MAWKNENG CRC,17060107101,DEMTHRING GOVT. LP SCHOOL,12,2025-12-04,09:31:36,Yes,-,-,18,25,0,0,0,0,0,0
WEST GARO HILLS,SELSELLA,ROCHONPARA CRC,17010133001,SOLKARPARA LP SCHOOL,12,2025-12-04,09:41:48,Yes,-,-,28,21,0,0,0,0,0,0
EAST KHASI HILLS,MAWPHLANG,RANGSHKEN CRC,17060114901,MAWMYRSIANG UMTYRNIUT PRES. LP,12,2025-12-04,12:26:00,Yes,-,-,12,10,0,0,0,0,0,0
EAST KHASI HILLS,MAWPHLANG,RANGSHKEN CRC,17060114901,MAWMYRSIANG UMTYRNIUT PRES. LP,12,2025-12-04,12:32:52,Yes,-,-,12,10,0,0,0,0,0,0
WEST JAINTIA HILLS,THADLASKEIN,NONGBAH CRC,17070103509,NONGBAH PRES. GOVT. LPS,12,2025-12-04,12:59:09,Yes,-,-,0,0,0,0,72,44,0,0
SOUTH WEST GARO HILLS,ZIKZAK,ARAKGITTIM CRC,17110207503,NEW TARAPARA LPS,12,2025-12-05,09:55:17,Yes,-,-,4,8,00,00,00,00,00,00
SOUTH WEST GARO HILLS,ZIKZAK,NOGORPARA CRC,17110200302,LOKAICHAR UPS,12,2025-12-05,13:11:45,Yes,-,-,0,0,0,0,0,0,0,0
WEST GARO HILLS,GAMBEGRE,DALUAGRE CRC,17010616901,DARAK AKONGGRE SSA/ LPS,12,2025-12-05,13:58:55,Yes,-,-,0,0,0,0,22,23,0,0
