Sl. No,UdiseCode,SchName,School Management,School Category ,District Name,Block Name,Cluster Name,Village Name,SchLocation,Schtype,"Building Status (1-Private Owned, 2-Rented, 3-Government Owned, 4-Government School in a Rent free building, 5-NO
Building (Running in Open Place), 6-School Running in other Department Building)",Total Number of Building Blocks of the School,"Type of Boundary Wall (1-Pucca, 2-Pucca but broken, 3-Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial,
8-Under Construction)",Dilapidated Building,Total Classrooms in Dilapidated Condition,Halls Avaible,Medical Facilities (Medical Rooms) Available,Store Room Available,"Minority managed school (1-Yes, 2-No)","Boundary wall type (1-Pucca, 2-Pucca but broken, 3- Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial, 8-Under Construction)","Fire extinguisher available (1-Yes, 2-No)","Whether receiving free uniform (1-Yes, 2-No)","Whether receiving free Textbook for primary (1-Yes, 2-No)","Whether receiving free Textbook for upper Primary (1-Yes, 2-No)",Girls Activity Room Available ,Electricity connection Available,Ramp Available,"If yes, specify Ramp with Handrail or without Handrail",Sport Equiptment,Separate Room for Head Teacher/Principal Available,Staffroom For Teacher,Staff Quarters (Including Residential Quarters for Head Teacher/Principal and Asst. Head Teacher/Vice Principal),Total no of Class Rooms use for Instructional Purpose ,No. of classroom under construction,No. of Pucca classroom for in good condition,No. of Pucca classroom in  for major repair,No. of Pucca classroom in  for minor repair,No. of Partially Pucca classroom for  in good condition,No. of Partially Pucca classroom for  for minor repair,No. of Partially Pucca classroom for  for major repair,No. of Kuccha classroom for  in good condition,No. of Kuccha classroom for  for minor repairing,No. of Kuccha classroom for  for major repairing,Tent,Land is Available for Expansion of School Facilities,Boy toilet available,No of toilet for Boys,No of  Functional toilet for Boys,No of CWSN(Toilet)  for Boys,No of Functional CWSN (Toilet) for Boys,Girls toilet available,No of toilet for Girls,No of Functional toilet for Girls,No of CWSN(Toilet)  for Girls,No of Functional CWSN (Toilet) for Girls,Handwash facility,Hand washing Facility near Toilet,Hand washing Facility after Meals,Drinking Water Availability,Drinking Water Functional,Are there any rainwater harvesting structures implemented within the school campus? ,Has the school availed facilities provided under the Jal Jeevan Mission (JJM)?,Solar Panel ,Is your school equipped with Solar Panel for energy generation?,"         If Yes, specify whether they are  functional or not functional","Whether your school having Sanitary Pad vending Machine - For schools having Secondary and Higher Secondary Sections (1- Yes, 2- No, 3- Yes, but not functional, 4- NO, Pads available with Class Teachers, 9 Not Applicable)",Whether your school  having functional incinerator in girls toilets - For schools having Secondary and Higher Secondary Sections,Library Facility,Does the school have a designated Library room?,Does the School have book bank facility,"If yes, No of books are available",No of Librarians,No of Computers Available in the Library Room,Reading Corner Available,Power Backup Available ,Furniture Available,Playground Available,Separate Common Room For Girls ,Co-Curricular Activity Room/Arts And Crafts Room ,Integrated Science Laboratory for Secondary Details ,No of Room Available,Maths Lab for Secondary Details ,No of Room Available ,Physics Laboratory for Higher Secondary ,No of Room Available ,Chemistry Laboratory for Higher Secondary ,No of Room Available ,Biology Laboratory  for Higher Secondary,No of Room Available ,Library Room,No of Books avaialble,Computer Room ,No of computer ,Tinkering Lab,"Internet Facility available in school (1-Yes, 2-No)","Smart classroom available in school (1-Yes, 2-No)",No of Smart classroom,ICT Lab Available,ICTLab Functional, Total Number of Desktops/Laptops ,Total Number of functional desktops,Total Number of functional Laptops,Total Number of functional Tablets,Total Number of functional digital boards,Total Number of functional projectors,Hostel Facilities for Boys,Does the school have hostel facilities for Boys?,Intake capacity,No of students are currently residing in the hostel,Hostel Facilities for Girls,Does the school have hostel facilities for Girls?,Intake capacity,No of students are currently residing in the hostel
2689,17060304404,ST. MARY MAZZARELLO SSA UP SCHOOL,Government,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,SOHRYNGKHAM CRC-1707010006,Mawlyngngad,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,No,Yes,No,No,No,Yes,No,3,0,0,0,3,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,Yes,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,182,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2690,17060304405,PEPBAH LP SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,SOHRYNGKHAM CRC-1707010006,Mawlyngngad,Rural,Co-ed,1,3,3,0,0,,,,1,3,1,No,No,N/A,No,Yes,No,Not applicable,No,No,No,No,4,0,0,0,0,0,1,0,0,3,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,61,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2691,17060304406,ST. MARY MAZZARELLO SEC. SCHOOL,Private Unaided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,SOHRYNGKHAM CRC-1707010006,Mawlyngngad,Rural,Co-ed,1,2,6,0,0,,,,2,6,2,No,N/A,N/A,No,No,No,Not applicable,No,No,Yes,No,2,0,0,0,2,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2692,17060304603,RYMPEI JINGTIP SSA LP SCHOOL,Government,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Kut,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,Yes,No,4,0,0,1,3,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,3,0,Yes,No,Yes,4,,,Yes,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,146,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2693,17060304604,MISS. A.W.THOMAS SSA LP SCHOOL- KUT,Government,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Kut,Rural,Co-ed,3,2,2,0,0,,,,2,2,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,4,0,1,0,0,0,3,0,0,0,0,0,No,Yes,1,1,0,0,Yes,2,2,0,0,No,No,No,Yes,Yes,No,,No,,,3,0,Yes,No,Yes,35,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,19,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2694,17060304606,UNITARIAN SSA LP SCHOOL- KUT,Government,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Kut,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,"Yes, but not functional",Yes,Yes,No,No,Yes,No,3,0,0,0,0,1,2,0,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,0,0,0,Yes,No,Yes,Yes,Yes,Yes,,No,,,2,0,Yes,No,Yes,5,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,147,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2695,17060304607,KUT SSA RCUP SCHOOL,Government,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Kut,Rural,Co-ed,3,1,7,0,0,,,,2,7,1,Yes,N/A,Yes,No,No,No,Not applicable,No,No,Yes,No,4,0,0,0,4,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,Yes,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,27,Not Applicable,2,Not Applicable,1,2,0,Yes,Not Applicable,1,1,0,0,0,0,,No,,0,,No,,0
2696,17060304608,KUT RCLP SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Kut,Rural,Co-ed,1,1,2,0,0,,,,1,2,1,No,Yes,N/A,No,No,No,Not applicable,No,No,Yes,No,3,0,0,0,0,0,0,3,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,0,0,0,No,No,No,Yes,Yes,No,,No,,,4,0,No,No,No,0,,,Yes,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2697,17060304703,UNITARIAN LP SCHOOL- PURIANG,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Puriang,Rural,Co-ed,1,1,1,0,0,,,,2,1,1,Yes,Yes,N/A,No,Yes,No,Not applicable,Yes,Yes,Yes,No,8,0,0,0,0,5,3,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,4,0,No,Yes,No,0,,,No,,Yes for all,Yes,No,Yes,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,6,Not Applicable,1,2,0,Yes,Not Applicable,2,2,0,0,0,2,,No,,0,,No,,0
2698,17060304705,PDENGSHNONG PRES LP SCHOOL PURIANG,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Puriang,Rural,Co-ed,1,2,4,0,0,,,,2,4,1,No,Yes,N/A,No,Yes,No,Not applicable,No,No,Yes,No,7,0,4,0,1,1,1,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2699,17060304708,PURIANG RCLP SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Puriang,Rural,Co-ed,1,1,7,0,0,,,,1,7,1,Yes,Yes,N/A,No,No,Yes,No,No,No,No,No,3,0,0,0,0,0,0,3,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,0,0,0,No,No,No,No,"Yes, but not functional",No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2700,17060304709,PURIANG GOVT. LP SCHOOL,Government,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Puriang,Rural,Co-ed,3,2,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,3,0,2,0,0,1,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,5,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2701,17060304717,PURIANG C.O.G. LP SCHOOL,Private Unaided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Puriang,Rural,Co-ed,1,1,1,0,0,,,,2,1,1,No,No,N/A,No,No,No,Not applicable,No,No,No,No,4,0,2,0,2,0,0,0,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,0,0,0,No,No,No,No,"Yes, but not functional",No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2702,17060304718,PURIANG SECONDARY SCHOOL,Private Unaided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Puriang,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,2,0,0,0,0,2,0,0,0,0,0,0,Yes,No,0,0,0,0,No,0,0,0,0,Yes,Yes,No,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,7,No,1,2,0,Yes,Not Applicable,7,5,0,0,0,0,,No,,0,,No,,0
2703,17060304720,UNITARIAN UP SCHOOL- PURIANG,Government Aided,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Puriang,Rural,Co-ed,1,1,1,0,0,,,,1,1,1,Yes,N/A,Yes,Yes,Yes,No,Not applicable,Yes,Yes,Yes,No,8,0,4,0,1,3,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,4,0,No,Yes,Yes,80,,,No,,Yes for all,No,Yes,Yes,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,8,Not Applicable,1,2,0,Yes,Yes,5,5,0,3,0,3,,No,,0,,No,,0
2704,17060304723,UNITARIAN SECONDARY SCHOOL- PURIANG,Government Aided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Puriang,Rural,Co-ed,1,2,1,0,0,,,,1,1,1,Yes,N/A,N/A,Yes,Yes,No,Not applicable,Yes,Yes,Yes,Yes,8,0,2,0,2,4,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,4,0,Yes,Yes,Yes,25,,,Yes,,Yes for all,No,Yes,Yes,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,102,Not Applicable,10,Yes,1,2,0,Yes,Yes,10,10,0,0,0,2,,No,,0,,No,,0
2705,17060304730,SAWKYNTOIT UP SCHOOL,Private Unaided,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,SOHRYNGKHAM CRC-1707010006,Puriang,Rural,Co-ed,5,0,5,0,0,,,,2,5,1,No,N/A,No,No,No,No,Not applicable,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,0,0,0,0,No,0,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2706,17060305103,MAWMANG RCUP SCHOOL,Government Aided,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,1,1,5,0,0,,,,1,5,1,Yes,N/A,Yes,No,No,No,Not applicable,No,No,No,No,3,0,3,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,No,No,"Yes, but not functional",No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,2,Not Applicable,2,2,0,No,Not Applicable,2,2,0,0,0,0,,No,,0,,No,,0
2707,17060305104,RISING SUN SCHOOL LP SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,No,No,N/A,No,No,No,Not applicable,No,Yes,Yes,No,5,0,0,0,0,0,3,2,0,0,0,0,Yes,Yes,2,2,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2708,17060305107,RADIANT  ADVENTIST LP & UP SCHOOL,Private Unaided,2 - Primary with Upper Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,1,2,3,0,0,,,,2,3,2,No,No,No,No,Yes,No,Not applicable,No,Yes,Yes,No,8,0,6,0,0,2,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,2,2,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,1,Not Applicable,2,2,0,No,Not Applicable,1,1,0,0,0,0,,No,,0,,No,,0
2709,17060305114,MISSION LP SSA SCHOOL,Government,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,No,No,No,No,No,3,0,0,0,0,0,1,2,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,2,0,Yes,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,80,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2710,17060305115,MAWRYNGKNENG LP SCHOOL,Private Unaided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,1,2,5,0,0,,,,2,5,2,No,No,N/A,No,Yes,No,Not applicable,No,No,Yes,No,5,0,0,0,0,0,5,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,25,Not Applicable,2,2,0,Yes,Not Applicable,20,2,0,5,0,1,,No,,0,,No,,0
2711,17060305117,MAWMANG RCLP SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,1,2,1,0,0,,,,2,1,2,Yes,Yes,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,7,0,7,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2712,17060305122,MISSION UP SSA SCHOOL,Government,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,1,1,0,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,0,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2713,17060305124,MAWRYNGKNENG SECONDARY SCHOOL,Government Aided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,1,2,5,0,0,,,,2,5,2,No,N/A,N/A,Yes,Yes,No,Not applicable,Yes,Yes,Yes,No,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes but not functional,,No,,,3,0,Yes,Yes,No,0,,,No,,Yes for all,Yes,Yes,No,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,150,Not Applicable,22,No,1,1,2,Yes,Yes,20,20,0,0,2,1,,No,,0,,No,,0
2714,17060305126,KHON SHNONG SSA LP SCHOOL,Government,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,PURIANG CRC-1707010006,Mawryngkneng,Rural,Co-ed,3,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,No,Yes,No,No,No,3,0,0,0,0,0,0,3,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,No,"Yes, but not functional",Yes but not functional,,No,,,2,0,Yes,No,Yes,35,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,35,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2715,17060305129,GUIDINGSTAR SECONDARY SCHOOL,Private Unaided,6 - Pr. Up Pr. and Secondary Only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,1,3,5,0,0,,,,2,5,2,No,No,No,No,No,No,Not applicable,No,No,No,No,7,0,0,0,0,1,1,5,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2716,17060305133,POMLAHIER LP SCHOOL,Government Aided,1 - Primary,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010116,Pomlahier,Rural,Co-ed,3,2,5,1,5,,,,2,5,1,No,Yes,N/A,No,No,Yes,No,No,No,Yes,No,7,0,0,0,0,2,5,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2717,17060305134,POMLAHIER UP SSA SCHOOL,Government,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Pomlahier,Rural,Co-ed,3,3,5,0,0,,,,2,5,2,Yes,N/A,Yes,No,No,No,Not applicable,No,No,No,No,3,0,0,0,0,0,0,3,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2718,17060305136,RISING SUN SECONDARY SCHOOL,Private Unaided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,No,N/A,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,2,0,0,0,0,0,0,0,Yes,No,0,0,0,0,No,0,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2719,17060305137,RADIANT ADVENTIST SEC. SCHOOL,Private Unaided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,1,1,3,0,0,,,,2,3,2,No,N/A,N/A,No,Yes,No,Not applicable,No,Yes,Yes,No,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,2,0,0,0,Yes,2,0,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,2,No,1,2,0,No,Not Applicable,2,2,0,0,0,0,,No,,0,,No,,0
2720,17060305138,JUBILEE PRES. SSA UP SCHOOL- IAPSHYNDIET,Government,4 - Upper Primary only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,MAWRYNGKNENG CRC-1707010006,Mawryngkneng,Rural,Co-ed,2,0,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,No,No,Not applicable,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,No,No,No,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
2721,17060305140,BANKER SECONDARY SCHOOL,Private Unaided,8 - Secondary Only,EAST KHASI HILLS-1706,MAWRYNGKNENG-170603,SOHRYNGKHAM CRC-1707010006,Mawryngkneng,Rural,Co-ed,5,0,4,0,0,,,,2,4,2,No,N/A,N/A,No,No,No,Not applicable,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,0,0,0,0,No,0,0,0,0,Yes,No,Yes,No,No,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,No,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
