UDISE Code,School Name,Report Date,Timestamp,Total Student Enrolment without Aadhaar,Total Aadhaar Based Student Enrolment,Kitchen Sheds Available,Conditions of Kitchen Sheds,Kitchen Device Available,Conditions of Kitchen Device,Food Grain Available,Food Grain Unavailable Reason,No of Cook Engaged,Reason if cook not Available,Best Practices Adopted,Name the Best Practices,Nutrition Kitchen Grade,Types of Vegetables Grown,School Fencing Facilities,Handwashing Facilities,Drinking Water Facilities,Source of Water Facilities,Tithi Bhojan Celebrated,"If Yes, How Many Days",No. of Children Benefited,Monthly School Introspection,Monthly School Inspection
17080122201,CHISIM MATCHOKGRE L.P.SCHOOL,2025-12-02,10:29:17,,,Yes,Need Store Room,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,,,,,,,0,,
17100202901,CHITOGRI GOVT. LPS,2025-12-03,14:16:11,41,6,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,47,,
17110111501,CHONDON-NOKAT LPS,2025-12-04,13:22:58,2,9,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,11,,
17110121802,CHONGPOTGRE (ASS) LPS,2025-12-01,12:23:58,2,14,Yes,Need Minor Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,Yes,Yes,,,16,,
17100119511,CHRISTIAN PRINCIPLE ACADEMY UPS,2025-12-01,11:12:34,15,33,Yes,Need Replacement,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,Yes,No,No,No,,,48,,
17090114203,CHURCH OF GOD LPS RATACHERRA,2025-12-03,11:38:19,102,3,Yes,Need Replacement,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,Yes,No,No,,,105,,
17010204501,DABONGGRE LPS,2025-12-01,13:08:07,79,3,Yes,Need Minor Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,82,,
17020203101,DAGAL ARINGGA GOVT. L.P. SCHOOL,2025-12-01,08:58:14,2,5,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,7,,
17110109001,DAKUPARA GOVT. LPS,2025-12-01,09:50:40,0,14,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,14,,
17110101701,DALBOTPARA GOVT. LPS,2025-12-01,12:47:12,22,4,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,Yes,Yes,Yes,Yes,,,26,,
17080137801,DALMANGGRE L.P. SCHOOL.,2025-12-05,09:07:43,,,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,No,No,Yes,,,0,,
17080147301,DANAL SONGGITCHAM L.P.SCHOOL,2025-12-02,08:50:55,28,20,Yes,Need Major Repair,No,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,48,,
17010616901,DARAK AKONGGRE SSA/ LPS,2025-12-05,13:55:05,30,15,Yes,Need Minor Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,45,,
17110204502,DASPARA GOVT. LPS,2025-12-01,09:35:27,32,80,Yes,Need Major Repair,No,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,112,,
17070106707,DCLP SCHOOL MOOLONG-SANDAR,2025-12-03,13:08:35,18,0,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,Yes,No,No,,,18,,
17070207004,DCLPS SCHOOL UMSALAIT,2025-12-01,10:43:43,3,15,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,18,,
17110226501,DEBAJANI HAJONGBASTI SSA LPS,2025-12-02,08:57:07,0,18,No,Need Replacement,No,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,Yes,No,Yes,,,18,,
17110201102,DEMDEMAKONA SSA UPS,2025-12-02,12:10:11,15,45,Yes,Need Minor Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,No,Yes,,,60,,
17070100503,DEMTHRING GOVT LPS,2025-12-05,13:34:08,2,4,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,Yes,No,No,No,,,6,,
17070100504,DEMTHRING WAHTHANG GOVT LPS,2025-12-05,12:55:18,78,3,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,81,,
17110201702,DHOROMCHAS UPS,2025-12-01,10:31:17,0,20,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,No,,,20,,
17010312502,DIDAPARA SONGGITCHAM SSA LPS,2025-12-04,12:48:21,19,14,No,Need Replacement,No,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,33,,
17110225701,DIKKIMPARA LPS,2025-12-01,10:17:06,18,18,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,Yes,Yes,,,36,,
17110227601,DILSA ADING SSA UPS,2025-12-02,09:13:06,1,3,Yes,Need Minor Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,4,,
17010202502,DILSIGRE GOVT. LPS,2025-12-01,14:17:07,4,21,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,25,,
17110217902,DIMILIGRE GOVT. LPS,2025-12-05,09:31:33,23,34,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,,,,,,,57,,
17110206404,DINGAMPARA UPS,2025-12-01,14:34:08,9,87,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,96,,
17110216401,DINGNAGRE GOVT. LPS,2025-12-02,11:11:13,17,6,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,Yes,No,No,,,23,,
17010107601,DIPOGRE GOVT. LP SCHOOL,2025-12-04,11:19:13,47,68,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,115,,
17110214901,DOLSIGRE LPS,2025-12-01,09:14:24,5,40,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,Yes,,,45,,
17100108004,DOMDIPEI LPS,2025-12-03,08:22:30,,,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,0,,
17090113902,DONA SKUR UPS,2025-12-02,13:14:02,0,27,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,-,-,-,-,No,No,No,No,,,27,,
17090114001,DONA UMBLUH LPS,2025-12-01,12:55:43,0,18,Yes,Need Minor Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,18,,
17070113506,DONGIAW LPS,2025-12-02,09:58:16,5,4,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,No,No,,,9,,
17010207002,DUGALGRE LPS,2025-12-03,12:16:33,0,0,No,Need Replacement,No,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,0,,
17070205607,DWAR JINGKYRMEN LPS KYNDONG TUBER,2025-12-04,11:54:32,8,42,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,,,,,,,50,,
17100101005,FLOWER BUD UPS,2025-12-04,15:07:06,26,26,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,52,,
17080146701,GABIL GOVT. L.P.SCHOOL,2025-12-03,09:38:11,65,0,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,65,,
17010132601,GALWANG ATIMBO L.P.S,2025-12-03,09:34:13,6,29,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,35,,
17080204702,GANGGASA U.P. SCHOOL,2025-12-05,12:51:45,6,47,Yes,Need Replacement,No,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,53,,
17110111802,G-BAINAPARA UPS,2025-12-02,10:24:54,3,74,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,77,,
17110123101,GILDINGGRE LPS,2025-12-02,11:21:22,3,3,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,6,,
17110111202,GODALGRE SSA UPS,2025-12-05,12:45:23,8,17,Yes,Need Minor Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,,,,,,,25,,
17110111201,GODALGRI GOVT. LPS,2025-12-01,12:46:36,8,10,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,18,,
17110102101,GOLDATGRI GOVT. LPS,2025-12-01,08:15:10,9,39,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,48,,
17010503801,GONCHUDARE LP SCHOOL,2025-12-02,10:39:12,28,19,Yes,Need Major Repair,No,Need Replacement,Yes,-,Yes,-,No,-,-,-,,,,,,,47,,
17110206301,GOPINATHKILLA UPS,2025-12-04,10:45:54,10,51,Yes,Need Store Room,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,Yes,No,No,Yes,,,61,,
17070116005,GOVERNMENT BOY'S HIGHER SECONDARY SCHOOL- JOWAI,2025-12-05,14:57:25,12,251,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,263,,
17070116006,GOVERNMENT GIRL'S HIGHER SECONDARY SCHOOL- JOWAI,2025-12-04,11:11:13,134,296,Yes,Need Minor Repair,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,430,,
17060901501,GOVT. BOYS HIGHER SECONDARY,2025-12-02,15:32:05,99,180,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,Yes,Yes,Yes,Yes,,,279,,
17070200101,GOVT. UPS MOWKAIAW,2025-12-05,10:48:33,27,120,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,147,,
17110220201,HATIBELPARA GOVT. LPS,2025-12-03,08:08:27,8,8,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,16,,
17070200911,IAIKYNTIEWLANG DCLPS- MUKHAP,2025-12-01,10:14:36,6,7,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,No,No,,,13,,
17050205706,IAIMINOT  L.P.S. KREMSADHU,2025-12-04,11:10:53,,,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,,,,,,,0,,
17110122301,INDIK NOKATGRE LPS,2025-12-03,14:52:13,9,4,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,13,,
17070206907,IOOKSI DCLP SCHOOL,2025-12-05,15:52:33,32,3,Yes,Need Minor Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,35,,
17070206903,IOOKSI GOVT LPS,2025-12-02,10:25:04,27,32,Yes,Need Store Room,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,59,,
17070206901,IOOKSI PRES UPS,2025-12-04,10:04:45,0,84,Yes,Need Minor Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,84,,
17060900906,ISLAMIA LP SCHOOL,2025-12-03,10:40:41,25,22,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,Yes,Yes,Yes,Yes,,,47,,
17010125901,J.B. LP SCHOOL,2025-12-02,15:11:11,14,50,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,Yes,,,64,,
17110103902,JALUAGRE SSA UPS,2025-12-01,12:17:17,2,5,No,Need Replacement,No,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,7,,
17040118001,JAPUNG PRES LPS,2025-12-01,12:31:08,0,10,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,Yes,Yes,,,10,,
17040118005,JAPUNG PRES. UPS,2025-12-01,10:21:11,0,4,Yes,Good Condition,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,No,Yes,Yes,,,4,,
17010314401,JELBONGGRI SSA LPS,2025-12-04,11:22:51,4,4,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,Yes,No,No,,,8,,
17110124101,JENGGITCHAKGRE SSA LPS,2025-12-02,09:22:07,24,24,Yes,Need Replacement,No,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,Yes,No,No,No,,,48,,
17110101101,JONGCHETPARA GOVT. LPS,2025-12-01,09:31:28,20,18,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,38,,
17080217101,JONGKI APAL GOVT. L.P.S,2025-12-01,08:33:16,78,28,Yes,Need Minor Repair,Yes,Good Condition,Yes,-,Yes,-,Yes,-,-,-,No,Yes,Yes,Yes,,,106,,
17080124301,JOROPARA L.P. SCHOOL,2025-12-03,11:15:43,,,Yes,Need Replacement,Yes,Need Replacement,Yes,-,-,-,Yes,-,-,-,,,,,,,0,,
17110224301,K. BOLDORENGGRE SSA LPS,2025-12-01,10:57:31,11,7,Yes,Need Replacement,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,No,No,No,No,,,18,,
17080111901,KA'GRAKGRE L.P.SCHOOL,2025-12-02,14:50:11,,,Yes,Good Condition,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,,,,,,,0,,
17110227501,KALAICHAR DHAKDAHAKIPARA NG LPS,2025-12-01,10:52:25,2,16,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,Yes,-,-,-,No,No,No,No,,,18,,
17110201701,KALEGAON LPS,2025-12-02,10:20:50,0,37,Yes,Need Major Repair,Yes,Good Condition,Yes,-,Yes,-,No,-,-,-,No,Yes,Yes,Yes,,,37,,
17010209201,KAMA BOLDAKGRE LPS,2025-12-02,09:43:07,,,Yes,Need Major Repair,Yes,Need Replacement,Yes,-,Yes,-,No,-,-,-,,,,,,,0,,
